Gene,Start,End,Strand
ugpB,3591009,3592325,-
ugpC,3588110,3589180,-
ugpE,3589182,3590027,-
ugpQ,3587370,3588113,-
uhpA,3850136,3850726,-
uhpB,3848634,3850136,-
uhpC,3847305,3848624,-
uhpT,3845776,3847167,-
uhpU,3845730,3845995,-
uidA,1694260,1696071,-
uidB,1692890,1694263,-
uidC,1691586,1692851,-
uidR,1696462,1697052,-
ulaA,4419980,4421377,+
ulaB,4421393,4421698,+
ulaC,4421708,4422172,+
ulaD,4422186,4422836,+
ulaE,4422846,4423700,+
ulaF,4423700,4424386,+
ulaG,4418561,4419625,-
ulaR,4417698,4418453,-
umpG,2869513,2870274,-
umpH,699574,700326,-
umuC,1231186,1232454,+
umuD,1230767,1231186,+
ung,2716754,2717443,+
uof,710639,710725,-
upp,2620246,2620872,-
uraA,2618871,2620160,-
usg,2435636,2436649,-
ushA,504914,506566,+
uspA,3640111,3640545,+
uspB,3639385,3639720,-
uspC,1979753,1980181,+
uspD,4113293,4113721,+
uspE,1397672,1398622,-
uspF,1435185,1435619,-
uspG,641439,641867,-
uup,1009964,1011871,+
uvrA,4271049,4273871,-
uvrB,813526,815547,+
uvrC,1992874,1994706,-
uvrD,3997983,4000145,+
uvrY,1994703,1995359,-
uxaA,3241827,3243314,-
uxaB,1609229,1610680,-
uxaC,3243329,3244741,-
uxuA,4551636,4552820,+
uxuB,4552901,4554361,+
uxuR,4554576,4555349,+
valS,4480982,4483837,-
valT,780765,780840,+
valU,2520931,2521006,+
valV,1746435,1746511,+
valW,1746516,1746592,+
valX,2521051,2521126,+
valY,2521173,2521248,+
valZ,781068,781143,+
ves,1824362,1824937,-
viaA,3928152,3929603,-
vsr,2030448,2030918,-
waaA,3808540,3809817,+
waaB,3803058,3804137,-
waaC,3795979,3796938,+
waaF,3794929,3795975,+
waaG,3805943,3807067,-
waaH,3789047,3790081,-
waaJ,3800983,3801999,-
waaL,3796948,3798207,+
waaO,3802039,3803058,-
waaP,3805153,3805950,-
waaQ,3807064,3808098,-
waaS,3804181,3805116,-
waaU,3798239,3799312,-
waaY,3800267,3800965,-
waaZ,3799345,3800196,-
wbbH,2106060,2107226,-
wbbI,2105065,2106057,-
wbbJ,2104494,2105084,-
wbbK,2103391,2104509,-
wbbL,2101396,2103389,-
wcaA,2132558,2133397,-
wcaB,2132067,2132555,-
wcaC,2130853,2132070,-
wcaD,2129661,2130878,-
wcaE,2128904,2129650,-
wcaF,2128340,2128888,-
wcaI,2124523,2125746,-
wcaJ,2120160,2121554,-
wcaK,2117124,2118404,-
wcaL,2115907,2117127,-
wcaM,2114502,2115896,-
wecB,3970133,3971263,+
wecC,3971260,3972522,+
wecE,3975146,3976276,+
wecF,3977525,3978604,+
wecH,3725887,3726882,+
wrbA,1067112,1067708,-
wza,2136104,2137243,-
wzb,2135655,2136098,-
wzc,2133490,2135652,-
wzxC,2118680,2120158,-
wzxE,3976278,3977528,+
wzyE,3978601,3979953,+
wzzB,2097321,2098301,-
wzzE,3969031,3970077,+
xanP,3828945,3830336,+
xanQ,3024351,3025751,+
xapA,2524045,2524878,-
xapB,2522729,2523985,-
xapR,2521593,2522477,-
xdhA,3000345,3002603,+
xdhB,3002614,3003492,+
xdhC,3003489,3003968,+
xdhD,3021316,3024186,+
xerC,3996287,3997183,+
xerD,3038847,3039743,-
xisD,565858,566079,-
xisE,1200787,1201032,-
xisR,1413237,1413452,-
xseA,2634232,2635602,+
xseB,441101,441343,-
xthA,1832428,1833234,+
xylA,3729443,3730765,-
xylB,3727917,3729371,-
xylE,4240779,4242254,-
xylF,3731131,3732123,+
xylG,3732201,3733742,+
xylH,3733720,3734901,+
xylR,3734979,3736157,+
xylZ,3729386,3729545,-
xynR,288404,289162,-
yaaA,5683,6459,-
yaaI,11382,11786,-
yaaJ,6529,7959,-
yaaU,45807,47138,+
yaaW,10643,11356,-
yaaX,5234,5530,+
yaaY,21181,21399,+
yabI,71351,72115,+
yabP,58474,59124,+
yabQ,59121,59279,+
yabR,85467,85511,-
yacC,136570,136917,-
yacG,111649,111846,-
yacH,129407,131260,-
yacL,134388,134750,+
yacM,113244,113288,+
yadC,149715,150953,-
yadE,145081,146310,+
yadG,142779,143705,+
yadH,143702,144472,+
yadI,144577,145017,+
yadK,151003,151599,-
yadL,151626,152231,-
yadM,152243,152812,-
yadN,156299,156883,-
yadS,177001,177624,-
yadV,155461,156201,-
yadW,176552,176617,+
yadX,175048,175095,+
yaeF,216179,217003,-
yaeH,183709,184095,-
yaeI,184257,185069,-
yaeP,213925,214125,-
yaeQ,214291,214836,+
yaeR,211877,212266,+
yafC,229967,230881,-
yafD,231122,231922,+
yafE,231926,232549,+
yafF,239190,239378,+
yafJ,244327,245094,+
yafL,246712,247461,+
yafN,252005,252298,+
yafO,252301,252699,+
yafP,252709,253161,+
yafQ,245961,246239,-
yafS,234816,235538,+
yafT,237335,238120,+
yafU,238746,239084,-
yafV,239419,240189,-
yafW,263690,264007,-
yafX,264748,265206,-
yafY,266110,266553,-
yafZ,267184,268005,-
yagA,280829,281983,-
yagB,280385,280735,-
yagE,282278,283186,+
yagF,283201,285168,+
yagG,285395,286777,+
yagH,286789,288399,+
yagJ,291500,292231,+
yagK,292322,292948,-
yagL,293220,293918,-
yagM,293945,294799,-
yagN,295139,295579,-
yagP,297381,297791,-
yagU,302991,303605,+
yahB,333501,334433,-
yahC,334525,335022,-
yahD,335280,335885,+
yahE,335925,336788,+
yahF,336778,338325,+
yahG,338325,339743,+
yahH,339769,340089,+
yahI,340165,341115,+
yahJ,341125,342507,+
yahK,342884,343933,+
yahL,344176,344991,+
yahM,345404,345649,+
yahN,345666,346337,-
yahO,346484,346759,+
yahV,331802,331876,+
yaiA,406979,407170,+
yaiI,405764,406222,+
yaiL,376772,377311,+
yaiO,380069,380842,-
yaiP,382739,383935,-
yaiS,384059,384616,-
yaiT,390251,394418,+
yaiW,397872,398966,+
yaiX,380844,382872,-
yaiY,399025,399333,-
yaiZ,399593,399805,+
yajC,427287,427619,+
yajD,430605,430952,+
yajG,453589,454167,-
yajI,432312,432851,-
yajL,443051,443641,-
yajO,437161,438135,-
yajQ,444683,445174,+
yajR,445302,446666,-
ybaA,476672,477025,+
ybaB,494076,494405,+
ybaE,465612,467312,-
ybaK,506603,507082,-
ybaL,501562,503238,-
ybaM,490110,490271,-
ybaN,490882,491259,+
ybaP,507286,508080,-
ybaQ,508218,508559,+
ybaT,512576,513868,+
ybaV,463937,464308,+
ybaY,475379,475951,+
ybaZ,475982,476371,-
ybbA,519733,520419,+
ybbC,527581,527949,+
ybbD,528640,529130,+
ybbJ,514401,514859,-
ybbO,518340,519149,-
ybbP,520416,522830,+
ybbW,537633,539087,+
ybbY,540565,541866,+
ybcF,550439,551332,+
ybcH,587091,587981,-
ybcI,556032,556553,-
ybcJ,556661,556873,-
ybcK,568902,570428,+
ybcL,570893,571444,+
ybcM,571454,572251,+
ybcN,572466,572921,+
ybcO,573084,573374,+
ybcV,579184,579594,-
ybcW,579880,580086,+
ybcY,582152,582806,-
ybdD,632182,632379,+
ybdF,605518,605886,-
ybdG,603416,604663,-
ybdJ,605951,606199,-
ybdK,606265,607383,-
ybdL,633586,634746,+
ybdM,634747,635376,-
ybdN,635349,636569,-
ybdO,636716,637618,-
ybdR,642088,643326,+
ybdZ,613942,614160,+
ybeD,662379,662642,-
ybeF,660425,661378,-
ybeL,675018,675500,+
ybeM,658031,658818,+
ybeQ,675570,676547,-
ybeR,676711,677418,+
ybeT,678852,679406,-
ybeU,679508,680215,+
ybeX,690906,691784,-
ybeY,691874,692341,-
ybeZ,692338,693378,-
ybfA,729134,729340,+
ybfB,733776,734102,+
ybfC,735650,736219,+
ybfD,738092,738853,+
ybfE,711605,711898,-
ybfF,712038,712802,-
ybfG,715947,716597,-
ybfI,716721,716870,-
ybfL,736900,737961,+
ybfO,734220,735653,+
ybfP,715412,715906,+
ybfQ,736445,736699,+
ybgA,739001,739510,+
ybgC,774752,775156,+
ybgD,752229,752795,-
ybgE,774309,774602,+
ybgI,742827,743570,+
ybgO,747921,748982,-
ybgP,748979,749707,-
ybgQ,749722,752169,-
ybgS,784937,785317,-
ybgU,754674,754781,-
ybgV,754658,754690,-
ybhA,797613,798431,-
ybhB,807433,807909,-
ybhC,805998,807281,-
ybhD,799622,800575,-
ybhF,827245,828981,-
ybhG,828974,829972,-
ybhH,800759,801811,+
ybhI,801887,803320,+
ybhJ,803503,805764,+
ybhK,815739,816647,-
ybhL,819884,820588,+
ybhM,820793,821506,+
ybhN,821542,822498,-
ybhP,823736,824497,-
ybhQ,824630,825040,+
ybhR,825002,826108,-
ybhS,826119,827252,-
ybiA,832468,832950,-
ybiB,835248,836210,+
ybiE,837503,837562,+
ybiI,838190,838456,-
ybiJ,837665,837925,-
ybiO,843255,845480,-
ybiR,853647,854765,+
ybiT,855963,857555,+
ybiU,857796,859061,-
ybiV,859213,860028,-
ybiW,860174,862606,-
ybiX,838530,839207,-
ybiY,862612,863511,-
ybjC,890913,891200,+
ybjD,916473,918131,+
ybjG,882792,883388,-
ybjH,884946,885230,-
ybjI,885316,886131,-
ybjJ,886131,887339,-
ybjL,888134,889819,-
ybjM,890089,890466,+
ybjN,892957,893433,+
ybjO,897989,898477,+
ybjP,903952,904467,-
ybjQ,904593,904916,+
ybjS,905740,906753,-
ybjT,906852,908282,-
ybjX,918128,919120,-
ycaC,944931,945557,-
ycaD,945871,947019,+
ycaI,964320,966584,+
ycaK,949668,950258,+
ycaL,960264,961028,+
ycaM,947229,948659,+
ycaN,948660,949568,-
ycaO,954872,956632,-
ycaP,956762,957454,+
ycaQ,969389,970621,+
ycaR,970673,970855,+
ycbF,1003947,1004657,+
ycbJ,971752,972645,+
ycbU,1002889,1003431,+
ycbV,1003439,1003954,+
ycbX,1006491,1007600,-
ycbZ,1016539,1018299,-
yccA,1030759,1031418,-
yccE,1064036,1065292,+
yccF,1023902,1024348,-
yccJ,1066864,1067091,-
yccM,1052289,1053362,-
yccS,1021730,1023883,-
yccT,1027111,1027773,-
yccU,1027946,1028359,+
yccX,1030064,1030342,+
ycdU,1095843,1096829,+
ycdX,1098879,1099616,+
ycdY,1099640,1100194,+
ycdZ,1100296,1100787,+
yceB,1122713,1123273,-
yceD,1146794,1147315,+
yceF,1146011,1146595,-
yceH,1126157,1126804,+
yceI,1117901,1118476,-
yceJ,1118480,1119046,-
yceK,1113579,1113806,+
yceM,1126806,1127729,+
yceO,1119307,1119447,-
yceQ,1144502,1144822,+
ycfH,1156777,1157574,+
ycfJ,1167599,1168138,+
ycfK,1207501,1208130,+
ycfL,1162247,1162624,+
ycfP,1165143,1165685,+
ycfT,1174092,1175165,-
ycfZ,1180479,1181267,-
ycgB,1235709,1237241,-
ycgH,1219601,1222248,+
ycgI,1223564,1223907,+
ycgJ,1226600,1226968,+
ycgL,1227681,1228007,+
ycgM,1228079,1228738,+
ycgN,1228815,1229276,+
ycgR,1243793,1244527,-
ycgV,1253085,1255952,-
ycgX,1212703,1213107,-
ycgY,1245160,1245600,+
ycgZ,1215789,1216025,+
ychA,1267320,1268129,+
ychE,1298598,1299245,+
ychF,1256721,1257812,-
ychH,1258791,1259069,+
ychJ,1288674,1289132,-
ychN,1273246,1273599,-
ychO,1273784,1275178,+
ychQ,1266924,1267316,+
ychS,1286709,1286984,+
ychT,1298514,1298567,+
yciA,1311848,1312246,-
yciB,1312351,1312890,-
yciC,1312920,1313663,-
yciE,1314718,1315224,-
yciF,1315270,1315770,-
yciG,1315856,1316035,-
yciH,1342658,1342984,+
yciI,1310569,1310865,-
yciK,1328354,1329112,-
yciN,1330417,1330668,-
yciO,1324098,1324718,+
yciQ,1324746,1326641,+
yciT,1343597,1344346,-
yciU,1306821,1307150,-
yciW,1348980,1350107,-
yciX,1335291,1335458,+
yciY,1308788,1308961,+
yciZ,1344436,1344609,-
ycjD,1351407,1351760,-
ycjF,1385511,1386572,+
ycjG,1388930,1389895,+
ycjM,1370216,1371895,+
ycjN,1371909,1373201,+
ycjO,1373222,1374103,+
ycjP,1374090,1374932,+
ycjQ,1374963,1376015,+
ycjR,1376034,1376822,+
ycjS,1376832,1377887,+
ycjT,1377884,1380151,+
ycjU,1380148,1380807,+
ycjV,1380821,1381789,+
ycjW,1382963,1383961,-
ycjX,1384117,1385514,+
ycjY,1390933,1391853,-
ydaE,1417838,1418008,-
ydaF,1419156,1419311,-
ydaG,1419322,1419456,-
ydaS,1420365,1420661,+
ydaT,1420684,1421106,+
ydaU,1421119,1421976,+
ydaV,1421983,1422729,+
ydaW,1422752,1423312,+
ydaY,1425621,1425980,+
ydbA,1465392,1474013,+
ydbD,1475144,1477450,+
ydbH,1443051,1445690,+
ydbJ,1441058,1441324,+
ydbK,1437260,1440784,-
ydbL,1445880,1446206,+
ydcA,1491677,1491850,+
ydcC,1531816,1532952,+
ydcD,1529922,1530404,+
ydcF,1487235,1488035,+
ydcH,1498651,1498875,+
ydcI,1494148,1495071,-
ydcJ,1495288,1496631,+
ydcK,1499469,1500449,-
ydcL,1502457,1503125,+
ydcO,1504905,1506080,-
ydcR,1510003,1511409,+
ydcS,1511654,1512799,+
ydcT,1512817,1513830,+
ydcU,1513831,1514772,+
ydcV,1514762,1515556,+
ydcY,1517648,1517881,+
ydcZ,1517882,1518331,-
yddA,1577657,1579342,-
yddB,1575247,1577619,-
yddE,1534965,1535858,-
yddG,1546288,1547169,-
yddH,1533282,1533851,-
yddJ,1544384,1544719,-
yddK,1544758,1545714,-
yddL,1545738,1546028,-
yddM,1552398,1552682,-
yddY,1567178,1567219,-
ydeA,1617028,1618218,+
ydeE,1621332,1622519,+
ydeI,1624105,1624497,-
ydeJ,1624773,1625291,+
ydeM,1579633,1580790,-
ydeN,1580842,1582524,-
ydeO,1582926,1583687,-
ydeP,1584207,1586486,-
ydeQ,1586820,1587734,-
ydeR,1587793,1588296,-
ydeS,1588309,1588839,-
ydeT,1588853,1590001,-
ydfA,1648508,1648663,+
ydfB,1648665,1648793,+
ydfC,1648823,1649041,+
ydfD,1649794,1649985,+
ydfE,1650078,1650998,+
ydfG,1627517,1628263,+
ydfI,1629453,1630913,-
ydfJ,1631002,1632285,-
ydfK,1633072,1633305,+
ydfO,1637047,1637457,+
ydfR,1640054,1640365,-
ydfT,1642489,1643241,-
ydfU,1643255,1644304,-
ydfV,1645897,1646202,+
ydfW,1647174,1647323,-
ydfX,1647346,1647636,-
ydfZ,1629215,1629418,+
ydgA,1689852,1691360,+
ydgC,1681695,1682030,-
ydgD,1671960,1672781,+
ydgH,1678427,1679371,+
ydgI,1679557,1680939,+
ydgJ,1703268,1704308,-
ydgK,1705250,1705690,+
ydgU,1671777,1671860,+
ydhF,1724736,1725632,-
ydhI,1721025,1721261,+
ydhJ,1721264,1722121,+
ydhK,1722121,1724133,+
ydhL,1725681,1725920,-
ydhP,1736121,1737290,-
ydhQ,1744871,1746127,-
ydhR,1746700,1747005,+
ydhS,1747131,1748735,+
ydhT,1748747,1749559,-
ydhU,1749563,1750348,-
ydhV,1751728,1753830,-
ydhW,1751077,1751724,-
ydhX,1750345,1751013,-
ydhY,1753851,1754477,-
ydiB,1773789,1774655,+
ydiE,1789613,1789804,+
ydiF,1775587,1777182,+
ydiH,1764934,1765122,-
ydiJ,1765629,1768685,-
ydiK,1769074,1770186,+
ydiL,1770615,1770971,+
ydiM,1771071,1772285,+
ydiN,1772512,1773777,+
ydiO,1777196,1778347,+
ydiP,1778390,1779301,-
ydiQ,1779617,1780381,+
ydiR,1780401,1781339,+
ydiS,1781395,1782684,+
ydiT,1782681,1782974,+
ydiY,1805325,1806083,-
ydiZ,1807400,1807690,+
ydjA,1848125,1848676,-
ydjE,1852621,1853979,-
ydjF,1854096,1854854,-
ydjG,1854991,1855971,-
ydjH,1855981,1856928,-
ydjI,1856933,1857769,-
ydjJ,1857790,1858833,-
ydjK,1858850,1860229,-
ydjL,1860256,1861332,-
ydjM,1810211,1810801,+
ydjO,1812329,1813132,-
ydjX,1833401,1834111,+
ydjY,1834116,1834793,+
ydjZ,1834808,1835515,+
yeaC,1861702,1861974,-
yeaD,1863850,1864734,+
yeaE,1864782,1865636,-
yeaG,1866908,1868842,+
yeaH,1868955,1870238,+
yeaK,1873574,1874077,+
yeaL,1874352,1874798,+
yeaO,1876909,1877256,+
yeaQ,1879007,1879255,-
yeaR,1879589,1879948,-
yeaV,1883188,1884633,+
yeaW,1884665,1885789,+
yeaX,1885845,1886810,+
yeaY,1889951,1890532,-
yebB,1946251,1946853,+
yebC,1947411,1948151,-
yebE,1929048,1929707,-
yebF,1930034,1930390,-
yebG,1930457,1930747,-
yebK,1936652,1937521,+
yebO,1908261,1908548,-
yebQ,1910276,1911649,+
yebV,1921780,1922016,+
yebW,1922121,1922312,+
yebY,1923365,1923706,-
yebZ,1923719,1924591,-
yecA,1990954,1991619,-
yecD,1950832,1951398,+
yecE,1951395,1952213,+
yecF,1995818,1996042,+
yecH,1989251,1989490,-
yecJ,1987507,1987758,-
yecM,1959280,1959846,-
yecN,1952266,1952661,+
yecR,1988222,1988545,+
yecT,1961972,1962460,+
yecU,1995655,1995831,+
yecV,1961837,1961881,-
yedA,2029539,2030459,+
yedD,2007677,2008090,-
yedE,2008277,2009482,+
yedF,2009479,2009712,+
yedI,2028449,2029366,-
yedJ,2032384,2033079,-
yedK,2009821,2010489,+
yedL,2010600,2011079,+
yedN,2011223,2012351,-
yedP,2025511,2026326,+
yedS,2034051,2035243,+
yeeA,2079533,2080591,-
yeeH,2066068,2066154,-
yeeJ,2044938,2052014,+
yeeL,2052276,2053328,-
yeeN,2056858,2057574,+
yeeO,2058203,2059846,-
yeeP,2070786,2071211,+
yeeR,2074779,2076311,+
yeeS,2076308,2076754,+
yeeT,2076817,2077038,+
yeeW,2077940,2078134,+
yeeY,2087329,2088258,-
yeeZ,2088304,2089128,-
yefM,2089462,2089713,-
yegD,2147674,2149026,+
yegH,2137902,2139485,+
yegI,2149039,2150985,-
yegJ,2151185,2151646,+
yegL,2152469,2153128,-
yegP,2165189,2165521,+
yegR,2167989,2168306,-
yegS,2168712,2169611,+
yegT,2178821,2180098,+
yegU,2180095,2181099,+
yegV,2181096,2182061,+
yegW,2182035,2182781,-
yegX,2182833,2183651,-
yegZ,2167602,2167820,-
yehA,2187380,2188414,-
yehB,2188430,2190910,-
yehC,2190926,2191645,-
yehD,2191680,2192222,-
yehE,2192515,2192796,-
yehF,2196474,2197298,+
yehH,2197410,2200269,+
yehI,2200279,2203911,+
yehK,2203972,2204289,+
yehL,2204596,2205684,+
yehM,2205695,2207974,+
yehP,2207967,2209103,+
yehQ,2209100,2210944,+
yehR,2211225,2211686,+
yehS,2211726,2212196,-
yehW,2215745,2216476,-
yehX,2216481,2217407,-
yehY,2217400,2218557,-
yeiB,2241810,2242967,-
yeiE,2248737,2249618,-
yeiG,2243910,2244746,+
yeiH,2249717,2250766,+
yeiI,2251700,2252788,+
yeiL,2255355,2256014,+
yeiP,2265450,2266022,+
yeiQ,2266245,2267711,+
yeiR,2267829,2268815,+
yeiS,2233600,2233839,+
yeiW,2265041,2265295,-
yejA,2272364,2274178,+
yejB,2274179,2275273,+
yejE,2275273,2276298,+
yejF,2276300,2277889,+
yejG,2277893,2278237,-
yejK,2282940,2283947,-
yejL,2284129,2284356,+
yejO,2286390,2290180,-
yfaA,2334956,2336644,-
yfaE,2348514,2348768,+
yfaH,2349687,2349893,+
yfaL,2340417,2344169,-
yfaP,2327367,2328143,-
yfaQ,2328148,2329797,-
yfaS,2329798,2334402,-
yfaT,2334336,2334959,-
yfaU,2358042,2358845,-
yfaV,2358863,2360152,-
yfaX,2361429,2362211,-
yfaY,2362431,2363633,-
yfaZ,2363733,2364275,-
yfbK,2383995,2385722,-
yfbL,2385860,2386831,+
yfbM,2386934,2387437,+
yfbN,2387710,2388426,-
yfbO,2388635,2389057,+
yfbP,2389116,2389964,+
yfbR,2408862,2409461,+
yfbS,2409520,2411352,-
yfbU,2412100,2412594,-
yfbV,2412677,2413132,-
yfcA,2444751,2445560,-
yfcC,2417081,2418601,+
yfcD,2418634,2419176,-
yfcE,2419234,2419788,-
yfcF,2419841,2420485,-
yfcG,2420621,2421268,+
yfcH,2421708,2422601,+
yfcJ,2438942,2440120,-
yfcL,2443891,2444169,-
yfcO,2449228,2450049,-
yfcP,2450051,2450590,-
yfcQ,2450587,2451075,-
yfcR,2451072,2451584,-
yfcS,2451584,2452336,-
yfcU,2452356,2455001,-
yfcV,2455083,2455646,-
yfcZ,2460650,2460934,-
yfdC,2465301,2466233,+
yfdE,2488023,2489168,-
yfdF,2463012,2464070,+
yfdG,2467855,2468217,+
yfdH,2468214,2469134,+
yfdI,2469131,2470462,+
yfdK,2471077,2471517,-
yfdL,2471544,2472062,-
yfdM,2472112,2472387,-
yfdN,2472387,2472881,-
yfdO,2472878,2473246,-
yfdP,2473604,2473966,+
yfdQ,2474032,2474856,+
yfdR,2474984,2475520,+
yfdS,2475511,2475873,+
yfdT,2475873,2476178,+
yfdV,2489242,2490186,-
yfdX,2493767,2494402,-
yfdY,2495050,2495292,-
yfeC,2518467,2518811,+
yfeD,2518813,2519205,+
yfeH,2526946,2527944,+
yfeK,2537342,2537716,+
yfeN,2525127,2525891,+
yfeO,2509630,2510886,+
yfeR,2525930,2526856,-
yfeS,2537749,2538483,+
yfeW,2548102,2549406,+
yfeX,2549646,2550545,-
yfeY,2550641,2551216,-
yfeZ,2551277,2551726,-
yffB,2591247,2591603,+
yffL,2560257,2560898,+
yffM,2561368,2561613,+
yffN,2561625,2561993,+
yffO,2562111,2562527,+
yffP,2562524,2563117,+
yffQ,2563592,2563969,+
yffR,2563980,2564372,+
yffS,2564523,2565332,+
yfgD,2617578,2617937,+
yfgG,2629290,2629481,+
yfgH,2629792,2630310,+
yfgI,2630326,2630865,+
yfgJ,2635599,2635814,-
yfgM,2638663,2639283,-
yfgO,2614820,2615881,-
yfhH,2698759,2699607,+
yfhL,2699663,2699923,+
yfhM,2647326,2652287,-
yfhR,2664390,2665244,+
yfiB,2743625,2744107,+
yfiC,2712027,2712764,-
yfiE,2714439,2715320,-
yfiF,2717491,2718528,-
yfiH,2734303,2735034,-
yfiL,2741360,2741725,+
yfiM,2724128,2724451,+
yfiR,2741875,2742393,+
yfiS,2725925,2725987,+
yfjD,2748774,2750060,+
yfjF,2754008,2754298,-
yfjH,2757644,2758600,-
yfjI,2758985,2760394,+
yfjJ,2760547,2761173,+
yfjM,2765513,2765776,-
yfjP,2767710,2768573,+
yfjQ,2768665,2769486,+
yfjR,2769703,2770404,+
yfjS,2770681,2771124,+
yfjT,2771148,2771615,+
yfjU,2771840,2772154,-
yfjV,2772167,2773182,-
yfjW,2773318,2775021,+
yfjX,2775919,2776377,+
yfjY,2776386,2776868,+
yfjZ,2777115,2777432,+
ygaC,2799650,2799994,-
ygaH,2810344,2810679,+
ygaM,2800146,2800475,+
ygaP,2797520,2798044,+
ygaQ,2786397,2788649,+
ygaV,2797211,2797510,+
ygaY,2808316,2809493,+
ygaZ,2809617,2810354,+
ygbA,2856453,2856806,-
ygbE,2873014,2873337,-
ygbI,2860467,2861234,-
ygbJ,2861430,2862338,+
ygbK,2862335,2863501,+
ygbL,2863593,2864231,+
ygbM,2864236,2865012,+
ygbN,2865101,2866465,+
ygcE,2901896,2903374,+
ygcG,2905711,2906583,+
ygcN,2892657,2893928,+
ygcO,2893919,2894179,+
ygcP,2894196,2894771,+
ygcQ,2894919,2895779,-
ygcR,2895776,2896555,-
ygcS,2896533,2897870,-
ygcU,2897964,2899418,-
ygcW,2899488,2900273,-
ygdB,2962749,2963156,-
ygdD,2941236,2941631,-
ygdG,2931055,2931810,+
ygdI,2942918,2943145,-
ygdQ,2970420,2971133,+
ygdR,2971271,2971489,+
ygdT,2969330,2969476,-
ygeA,2979943,2980635,-
ygeF,2990554,2991043,+
ygeG,2991268,2991759,+
ygeH,2992094,2993470,+
ygeI,2993638,2993856,+
ygeK,2994460,2994903,-
ygeL,2994937,2995092,-
ygeN,2995314,2996020,-
ygeO,2995962,2996360,-
ygeP,2997689,2997988,-
ygeQ,2998034,2998828,-
ygeV,3004008,3005786,-
ygeW,3006262,3007452,+
ygeX,3007510,3008706,+
ygeY,3008764,3009975,+
ygfB,3054866,3055444,-
ygfF,3045158,3045901,-
ygfI,3066277,3067173,-
ygfK,3016060,3019158,+
ygfM,3020540,3021319,+
ygfS,3028524,3029012,-
ygfT,3029012,3030931,-
ygfX,3040416,3040823,-
ygfZ,3041313,3042293,+
yggC,3073976,3074689,-
yggE,3067340,3068080,-
yggF,3075217,3076182,-
yggI,3089755,3090252,+
yggL,3101807,3102133,-
yggM,3098558,3099565,-
yggN,3100904,3101623,-
yggP,3076179,3077456,-
yggR,3094100,3095080,-
yggS,3095098,3095802,+
yggT,3095820,3096386,+
yggU,3096383,3096673,+
yggX,3104093,3104368,+
yghA,3149662,3150546,+
yghB,3153563,3154222,+
yghD,3110590,3111126,-
yghE,3111128,3111988,-
yghF,3112054,3113049,-
yghG,3113067,3113477,-
yghJ,3114550,3119112,-
yghO,3129043,3130215,-
yghQ,3131341,3132408,-
yghR,3132454,3133212,-
yghS,3133244,3133957,-
yghT,3134131,3134823,+
yghU,3138727,3139593,+
yghW,3146450,3146737,-
yghX,3146856,3147691,-
ygiB,3179744,3180415,+
ygiC,3180421,3181581,+
ygiD,3181619,3182434,-
ygiF,3199664,3200965,-
ygiL,3185414,3185965,+
ygiM,3201207,3201827,+
ygiN,3173142,3173456,+
ygiQ,3158927,3161146,-
ygiS,3166111,3167718,-
ygiV,3168749,3169231,-
ygiW,3169284,3169676,-
ygiZ,3171879,3172211,-
ygjH,3220915,3221247,-
ygjI,3226234,3227667,+
ygjJ,3227801,3228871,+
ygjK,3228888,3231239,+
ygjP,3235960,3236463,+
ygjQ,3236540,3237232,+
ygjR,3237311,3238297,+
ygjV,3241193,3241744,-
yhaB,3267854,3268393,+
yhaC,3268415,3269602,+
yhaH,3252304,3252669,+
yhaI,3252911,3253267,+
yhaJ,3253318,3254214,-
yhaK,3254319,3255020,+
yhaL,3255043,3255207,+
yhaV,3277337,3277801,+
yhbE,3331770,3332735,-
yhbO,3298974,3299492,+
yhbP,3299472,3299915,-
yhbQ,3299966,3300268,+
yhbS,3300255,3300758,-
yhbW,3303448,3304455,+
yhbX,3319988,3321613,-
yhbY,3327790,3328083,+
yhcA,3362112,3362786,+
yhcC,3353121,3354050,-
yhcD,3362807,3365188,+
yhcE,3365185,3366929,+
yhcF,3366926,3367642,+
yhcG,3367827,3368954,+
yhcN,3385538,3385801,+
yhcO,3385857,3386129,-
yhdE,3397785,3398378,-
yhdH,3403484,3404458,+
yhdJ,3411653,3412537,+
yhdN,3439141,3439509,-
yhdP,3392458,3396258,-
yhdT,3407375,3407617,+
yhdU,3412621,3412800,+
yhdV,3418390,3418611,+
yhdW,3419042,3420066,+
yhdX,3420134,3421315,+
yhdY,3421325,3422428,+
yhdZ,3422436,3423194,+
yheO,3475718,3476440,-
yheS,3481289,3483202,+
yheT,3483202,3484224,+
yheU,3484218,3484436,+
yheV,3478592,3478792,-
yhfA,3485414,3485818,-
yhfG,3491453,3491620,-
yhfK,3486791,3488893,+
yhfL,3499448,3499615,+
yhfS,3504935,3506020,-
yhfT,3506032,3507336,-
yhfU,3507348,3507701,-
yhfW,3508587,3509813,-
yhfX,3509813,3510976,-
yhfY,3511060,3511422,-
yhfZ,3511439,3512344,-
yhgE,3530715,3532439,-
yhgF,3537385,3539706,+
yhgH,3544882,3545565,+
yhgN,3575071,3575664,+
yhgO,3573660,3573701,-
yhgP,3573679,3573708,-
yhhA,3586943,3587383,+
yhhH,3623399,3623782,+
yhhI,3624378,3625514,+
